city,country,2017,2018,2019,2020,2021,2022,2023
Lahore,Pakistan,133.2,114.9,89.5,79.2,86.5,97.4,97.4
Hotan,China,91.9,116,110.1,110.2,101.5,94.3,95
Bhiwadi,India,,125.4,83.4,95.5,106.2,92.7,93.3
Delhi (NCT),India,108.2,113.5,98.6,84.1,96.4,92.6,92.7
Peshawar,Pakistan,,,63.9,,89.6,91.8,91.9
Faisalabad,Pakistan,,130.4,104.6,73.2,94.2,84.5,91.5
N'Djamena,Chad,,,,,77.6,89.7,91.1
Asopur,India,,,,,,90.2,90.4
New Delhi,India,,,,,,89.1,89.2
Patna,India,118.5,119.7,82.1,68.4,78.2,88.9,89.2
Ghaziabad,India,144.6,135.2,110.2,106.6,102,88.6,88.7
Baghdad,Iraq,,,39.6,,49.7,86.7,87.3
Muzaffarnagar,India,,,89.1,78.6,73,85.5,86.9
Dharuhera,India,,,,72.5,76.9,87.8,86.8
Darbhanga,India,,,,,175.9,90.3,86
Chapra,India,,,,,,85.9,85.7
Greater Noida,India,,,91.3,89.5,87.5,83.2,83.6
Muzaffarpur,India,107.4,110.3,81.2,74.3,82.9,79.2,82.9
Bahadurgarh,India,,,,,139.9,82.2,82.8
Faridabad,India,123,129.1,85,83.3,88.9,79.7,82.1
Noida,India,134,123.6,97.7,94.3,91.4,78.7,80.4
Jind,India,126.5,91.6,85.4,81.6,84.1,77.9,79
Karagandy,Kazakhstan,,,,,75.5,77.8,78.5
Charkhi Dadri,India,,,,,73.9,77.4,76.8
Meerut,India,,,,82.3,80.6,72.6,75.5
Hisar,India,,,81,81.1,89,72.3,74.4
Bhiwani,India,,,61.6,39,53.8,73.5,74
Gaya,India,102.6,96.6,59.4,46.3,46.6,74.3,73.6
Kurukshetra,India,,,56.1,67.2,68.1,73.8,73.5
Kashgar,China,97.5,95.7,87.1,81,83.2,73.4,73.3
Bahawalpur,Pakistan,,,,78.7,91,71.4,72.5
Bhagalpur,India,,,,,,72.1,72
Bulandshahr,India,,,89.4,98.4,80.8,70.9,72
Alampur,India,,,59.2,66.2,72.5,74.1,71.8
Dadri,India,,,,,46.8,69.3,71.5
Hajipur,India,,,,54,58.1,70.4,70.8
Faridkot,India,,,,,71.5,68.4,70.4
Lohar Majra Kalan,India,,,,,,70,70.2
Gurugram,India,145.6,135.8,93.1,75.3,83.4,70,70
Hapur,India,,,,44.2,58.2,68.1,69.8
Jayant,India,,,,,,67.8,69.6
Rohtak,India,96.7,81.6,59.7,74.4,86.9,74.7,69.5
Yumananagar,India,,,,,,72,68.8
Kaithal,India,,,50,54.3,57.8,68.7,68.2
Fatehgarh Sahib,India,,,44.4,64.8,58.4,68.1,67.4
Manama,Bahrain,62.5,59.8,46.8,39.7,49.8,66.6,67.1
Balykshi,Kazakhstan,,,,,57.2,65.4,67.1
Ambala,India,,,63,58,65.3,67.1,66.9
Kanpur,India,119.2,88.2,48.5,89.1,83.2,66.2,66.4
Dhaka,Bangladesh,79.7,97.1,83.3,77.1,78.1,65.8,65.9
Mohali,India,,,,,,65.7,65.5
